生成函数,FOD,阶数,特征函数法,直接法,特征函数法时间,直接法时间
sin_p1,2,1,1.9199,1.9199,0.0293,0.0000
sin_p1,2,2,4.6344,4.6344,0.0010,0.0010
sin_p1,2,3,13.7019,13.7019,0.0015,0.0000
sin_p1,2,4,45.8197,45.8197,0.0020,0.0000
sin_p1,2,5,162.3767,162.3767,0.0024,0.0005
sin_p1,2,6,589.3913,589.3913,0.0021,0.0000
sin_p1,2,7,2159.4517,2159.4515,0.0026,0.0000
sin_p1,2,8,7940.1914,7940.1909,0.0034,0.0000
sin_p1,2,9,29235.0273,29235.0251,0.0032,0.0000
sin_p1,3,1,3.4289,3.4289,0.0005,0.0006
sin_p1,3,2,13.8928,13.8928,0.0011,0.0000
sin_p1,3,3,63.2715,63.2715,0.0011,0.0000
sin_p1,3,4,312.2697,312.2697,0.0011,0.0000
sin_p1,3,5,1652.0192,1652.0192,0.0022,0.0000
sin_p1,3,6,9442.0527,9442.0521,0.0034,0.0000
sin_p1,3,7,59122.8281,59122.8263,0.0027,0.0000
sin_p1,3,8,408301.8125,408301.8494,0.0043,0.0000
sin_p1,3,9,3084502.7500,3084502.6708,0.0038,0.0000
sin_p1,4,1,5.1477,5.1477,0.0005,0.0000
sin_p1,4,2,28.8635,28.8635,0.0005,0.0000
sin_p1,4,3,172.0594,172.0594,0.0014,0.0000
sin_p1,4,4,1070.2872,1070.2873,0.0017,0.0000
sin_p1,4,5,6871.2754,6871.2763,0.0020,0.0000
sin_p1,4,6,45334.5156,45334.5229,0.0025,0.0000
sin_p1,4,7,307968.1250,307968.1683,0.0030,0.0005
sin_p1,4,8,2177369.0000,2177369.4388,0.0027,0.0000
sin_p1,4,9,16497994.0000,16497996.6826,0.0040,0.0000
sin_p1,5,1,6.6313,6.6313,0.0010,0.0000
sin_p1,5,2,46.5436,46.5436,0.0014,0.0010
sin_p1,5,3,342.8736,342.8736,0.0005,0.0000
sin_p1,5,4,2639.2437,2639.2437,0.0015,0.0005
sin_p1,5,5,21209.5586,21209.5596,0.0015,0.0006
sin_p1,5,6,178259.7344,178259.7388,0.0020,0.0000
sin_p1,5,7,1571839.7500,1571839.8255,0.0030,0.0008
sin_p1,5,8,14592388.0000,14592388.8977,0.0033,0.0000
sin_p1,5,9,143116432.0000,143116432.1320,0.0036,0.0010
sin_p1,6,1,8.2323,8.2323,0.0010,0.0005
sin_p1,6,2,70.5883,70.5883,0.0000,0.0010
sin_p1,6,3,627.3554,627.3554,0.0011,0.0016
sin_p1,6,4,5760.7358,5760.7358,0.0022,0.0010
sin_p1,6,5,54566.2500,54566.2518,0.0021,0.0011
sin_p1,6,6,532988.1875,532988.2061,0.0026,0.0010
sin_p1,6,7,5372599.0000,5372599.0483,0.0032,0.0015
sin_p1,6,8,55984584.0000,55984583.0597,0.0038,0.0025
sin_p1,6,9,604765120.0000,604765098.4544,0.0055,0.0016
sin_p1,7,1,9.8238,9.8238,0.0011,0.0043
sin_p1,7,2,99.5748,99.5748,0.0010,0.0041
sin_p1,7,3,1038.2395,1038.2395,0.0015,0.0047
sin_p1,7,4,11113.4160,11113.4160,0.0025,0.0034
sin_p1,7,5,121981.2734,121981.2690,0.0037,0.0042
sin_p1,7,6,1372188.8750,1372188.8813,0.0027,0.0049
sin_p1,7,7,15819988.0000,15819987.7650,0.0032,0.0038
sin_p1,7,8,186999648.0000,186999658.2846,0.0051,0.0026
sin_p1,7,9,2268052992.0000,2268053078.0794,0.0049,0.0035
